location;aquifer;x;Head;Bot;Top;Valid
B38B0083;3;3876;0,05;-21,7;-20,7;1
B38B0174;3;2167;0,25;-27,16;-25,16;1
B38B0211;3;3678;0,04;-22,29;-20,29;1
DP176+081_B_BERM-pb02 ;3;60;1,93;-14,25;-14,25;1
