location;aquifer;x;Head
B38B0174;3;2180;0,25
B38B0206;3;147;1,12
B38B0211;3;3713;0,04
B38E0107;3;1133;0,53
B38E0108;3;412;1,69
B38E0215;3;81;1,75
B38E0221;3;33;1,90
B38E1909;3;91;1,72
B38E1913;3;70;1,95
B38E1916;3;47;1,98

