location;aquifer;x;Head;Bot;Top;Valid
B38E0094;3;1293;0,72;-12,4;-11,4;1
B38E0098;3;677;1,31;-5,00;-4,00;1,00
B38E1909_1;2;97;1,2130552;-5,00;-4,00;1,00
B38E1909_2;3;97;1,7335811;-13,18;-12,18;1,00
DP119+021_B_BERM-pb02 ;3;56;1,8155;-9,50;-10,50;1,00
