location;aquifer;x;Head;Bot;Top;Valid
B38B0083;3;3876;0,05;-21,7;-20,7;1
B38B0174;3;2167;0,25;-27,16;-25,16;1
B38B0211;3;3678;0,04;-22,29;-20,29;1
DP168+051_B_BERM-pb01 ;1;48;2,01;-1,5;-2,5;1
DP168+051_B_BERM-pb03 ;3;48;1,22;-9,25;-10,25;1
DP168+055_B_BUT-pb02 ;1;12;2,258;-3,25;-4,25;1
